id	2010 list of communities
1	 Allendale/Irvington/S. Hilton 
2	 Beechfield/Ten Hills/West Hills 
3	 Belair-Edison 
4	 Brooklyn/Curtis Bay/Hawkins Point 
5	 Canton 
6	 Cedonia/Frankford 
7	 Cherry Hill 
8	 Chinquapin Park/Belvedere 
9	 Claremont/Armistead 
10	 Clifton-Berea 
11	 Cross-Country/Cheswolde 
12	 Dickeyville/Franklintown 
13	 Dorchester/Ashburton 
14	 Downtown/Seton Hill 
15	 Edmondson Village 
16	 Fells Point 
17	 Forest Park/Walbrook 
18	 Glen-Falstaff 
19	 Greater Charles Village/Barclay 
20	 Greater Govans 
21	 Greater Mondawmin 
22	 Greater Roland Park/Poplar Hill 
23	 Greater Rosemont 
24	 Greenmount East 
25	 Hamilton 
26	 Harbor East/Little Italy 
27	 Harford/Echodale 
28	 Highlandtown 
29	 Howard Park/West Arlington 
30	 Inner Harbor/Federal Hill 
31	 Lauraville 
32	 Loch Raven 
33	 Madison/East End 
34	 Medfield/Hampden/Woodberry 
35	 Midtown 
36	 Midway/Coldstream 
37	 Morrell Park/Violetville 
38	 Mt. Washington/Coldspring 
39	 North Baltimore/Guilford/Homeland 
40	 Northwood 
41	 Oldtown/Middle East 
42	 Orangeville/East Highlandtown 
43	 Patterson Park North & East 
44	 Penn North/Reservoir Hill 
45	 Pimlico/Arlington/Hilltop 
46	 Poppleton/The Terraces/Hollins Market 
47	 Sandtown-Winchester/Harlem Park 
48	 South Baltimore 
49	 Southeastern 
50	 Southern Park Heights 
51	 Southwest Baltimore 
52	 The Waverlies 
53	 Upton/Druid Heights 
54	 Washington Village/Pigtown 
55	 Westport/Mt. Winans/Lakeland 
	
id	2000-2009 list of communities
1	Allendale/Irvington/South Hilton
2	Beechfield/Ten Hills/West Hills
3	Belair-Edison
4	Brooklyn/Curtis Bay/Hawkins Point
5	Canton
6	Cedonia/Frankford
7	Cherry Hill
8	Chinquapin Park/Belvedere
9	Claremont/Armistead
10	Clifton-Berea
11	Cross-Country/Cheswolde
12	Dickeyville/Franklintown
13	Dorchester/Ashburton
14	Downtown/Seton Hill
15	Edmondson Village
16	Fells Point
17	Forest Park/Walbrook
18	Glen-Falstaff
19	Greater Charles Village/Barclay
20	Greater Govans
21	Greater Mondawmin
22	Greater Roland Park/Poplar Hill
23	Greater Rosemont
24	Greenmount East
25	Hamilton
27	Harford/Echodale
28	Highlandtown
29	Howard Park/West Arlington
30	Inner Harbor/Federal Hill
56	Jonestown/Oldtown
31	Lauraville
32	Loch Raven
33	Madison/East End
34	Medfield/Hampden/Woodberry/Remington
35	Midtown
36	Midway/Coldstream
37	Morrell Park/Violetville
38	Mount Washington/Coldspring
39	North Baltimore/Guilford/Homeland
40	Northwood
42	Orangeville/East Highlandtown
43	Patterson Park North & East
44	Penn North/Reservoir Hill
57	Perkins/Middle East
45	Pimlico/Arlington/Hilltop
46	Poppleton/The Terraces/Hollins Market
47	Sandtown-Winchester/Harlem Park
48	South Baltimore
49	Southeastern
50	Southern Park Heights
51	Southwest Baltimore
52	The Waverlies
53	Upton/Druid Heights
54	Washington Village/Pigtown
55	Westport/Mount Winans/Lakeland
